hang,mau,nam,so_km,dong_co,so_cho,gia_vnd,mau_xe,tinh_trang,loai_dong_co
Peugeot,3008 GT,2024,1033,máy xăng 1.6 L,5,1010000000,đỏ,Xe cũ,Xăng
Mercedes,Benz C class C300 AMG,2022,11000,máy xăng 2.0 L,5,1738000000,trắng,Xe cũ,Xăng
Mercedes,Benz GLE Class GLE 450 4Matic,2019,90000,máy xăng 3.0 L,7,2850000000,trắng,Xe cũ,Xăng
Mercedes,Benz E class E200,2019,,máy xăng 2.0 L,5,1130000000,trắng,Xe cũ,Xăng
Mercedes,Benz G class G63 AMG,2015,50000,máy xăng 5.5 L,5,5450000000,xám,Xe cũ,Xăng
Toyota,Vios G 1.5 CVT,2023,29000,máy xăng 1.5 L,5,515000000,trắng,Xe cũ,Xăng
VinFast,Lux A 2.0 Plus 2.0 AT,2021,44000,máy xăng 2.0 L,5,620000000,đen,Xe cũ,Xăng
Toyota,Fortuner 2.7V 4x2 AT,2019,46000,máy xăng 2.7 L,7,795000000,đen,Xe cũ,Xăng
Toyota,Corolla altis 1.8G,2022,40000,máy xăng 1.8 L,5,659000000,đen,Xe cũ,Xăng
Lexus,RX 350 Luxury,2024,3900,máy xăng 2.4 L,5,4450000000,xám,Xe cũ,Xăng
Mercedes,Benz GLC 200 4Matic,2021,53000,máy xăng 2.0 L,5,1495000000,đen,Xe cũ,Xăng
BMW,3 Series 320i,2015,79000,máy xăng 2.0 L,5,559000000,trắng,Xe cũ,Xăng
Mercedes,Benz C class C300 AMG,2016,900000,máy xăng 2.0 L,5,715000000,trắng,Xe cũ,Xăng
Volvo,XC90 T6 2.0 AT,2015,,máy xăng 2.0 L,7,1450000000,đen,Xe cũ,Xăng
Hyundai,Sonata 2.0 AT,2016,80000,máy xăng 2.0 L,5,470000000,trắng,Xe cũ,Xăng
Mazda,3 1.5L Luxury,2023,13000,máy xăng 1.5 L,5,615000000,trắng,Xe cũ,Xăng
Toyota,Corolla altis 2.0V,2010,120000,máy xăng 2.0 L,5,310000000,vàng,Xe cũ,Xăng
Toyota,Innova E 2.0 MT,2023,5800,máy xăng 2.0 L,8,703000000,trắng,Xe cũ,Xăng
Toyota,Corolla altis 2.0V,2010,120000,máy xăng 2.0 L,5,310000000,vàng,Xe cũ,Xăng
Toyota,Innova E 2.0 MT,2023,5800,máy xăng 2.0 L,8,703000000,trắng,Xe cũ,Xăng
Kia,Morning Luxury,2020,83000,máy xăng 1.25 L,5,319000000,trắng,Xe cũ,Xăng
Ford,Everest Titanium 2.0L 4x2 AT,2022,50000,máy dầu 2.0 L,7,970000000,đen,Xe cũ,Dầu
Mercedes,Benz S class S450 Luxury,2021,35000,máy xăng 3.0 L,5,3950000000,đen,Xe cũ,Xăng
Toyota,Vios E 1.5 MT,2024,56000,máy xăng 1.5 L,5,410000000,đồng,Xe cũ,Xăng
Audi,Q5 2.0 AT,2017,75000,máy xăng 2.0 L,5,1089000000,đỏ,Xe cũ,Xăng
Kia,Sedona 2.2 DAT Luxury,2021,64000,máy dầu 2.2 L,7,889000000,trắng,Xe cũ,Dầu
Mercedes,Benz S class S450L Luxury,2020,40000,máy xăng 3.0 L,5,2845000000,trắng,Xe cũ,Xăng
Audi,Q5 2.0 AT,2017,89000,máy xăng 2.0 L,5,1099000000,đen,Xe cũ,Xăng
Mercedes,Benz S class S450 Luxury,2021,35000,máy xăng 3.0 L,5,4050000000,đen,Xe cũ,Xăng
Toyota,Land Cruiser 3.5 V6,2021,50000,máy xăng 3.4 L,7,4550000000,trắng,Xe cũ,Xăng
Mercedes,Benz E class E300 AMG,2021,43000,máy xăng 2.0 L,5,1899000000,đen,Xe cũ,Xăng
Mercedes,Benz GLC 300 4Matic,2016,100000,máy xăng 2.0 L,5,879000000,trắng,Xe cũ,Xăng
Ford,Everest Titanium 2.0L 4x4 AT,2020,65000,máy dầu 2.0 L,7,968000000,đỏ,Xe cũ,Dầu
Mercedes,Benz C class C300 AMG,2019,72000,máy xăng 2.0 L,5,1139000000,trắng,Xe cũ,Xăng
Ford,Ranger Wildtrak 2.0L 4x4 AT,2020,90000,máy dầu 2.0 L,5,679000000,đen,Xe cũ,Dầu
Toyota,Innova 2.0E,2016,130000,máy xăng 2.0 L,8,375000000,bạc,Xe cũ,Xăng
Hyundai,SantaFe Cao cấp 2.5L HTRAC,2023,12000,máy xăng 2.5 L,7,1135000000,đen,Xe cũ,Xăng
Porsche,Cayenne 3.0 V6,2018,69000,máy xăng 3.0 L,5,3389000000,xám,Xe cũ,Xăng
Ford,Ranger Limited 2.0L 4x4 AT,2022,46000,máy dầu 2.0 L,5,698000000,đen,Xe cũ,Dầu
Hyundai,SantaFe 2.7L 4WD,2006,,máy xăng 2.7 L,7,196000000,đen,Xe cũ,Xăng
Mercedes,Benz GLC 200,2021,52000,máy xăng 2.0 L,5,1289000000,xám,Xe cũ,Xăng
Ford,Everest Titanium Plus 2.0L 4x4 AT,2022,50000,máy dầu 2.0 L,7,1335000000,cam,Xe cũ,Dầu
Mitsubishi,Outlander 3.0 AT,2008,130000,máy xăng 3.0 L,7,250000000,ghi,Xe cũ,Xăng
Audi,Q7 3.0 AT,2011,86860,máy xăng 3.0 L,7,495000000,xám,Xe cũ,Xăng
Lexus,LM 300h Royal Lounge,2020,,,4,4950000000,trắng,Xe cũ,
Toyota,Fortuner 2.7V 4x2 AT,2017,110000,máy xăng 2.7 L,7,675000000,nâu,Xe cũ,Xăng
Honda,CRV L,2020,,máy xăng 1.5 L,7,780000000,trắng,Xe cũ,Xăng
Jeep,Wrangler,1990,,"máy xăng , số tay, 4 chỗ ...   Salon Auto Sơn Hoa bán xe Jeep Wrangler sản xuất 1990, hàng cực độc ở Việt Nam, số lượng đếm trên đầu ngón tay.
Jeep Wrangler được sản xuất theo yêu cầu của quân đội ... L",4,550000000,trắng,Xe cũ,Xăng
BMW,3 Series 330i M Sport,2024,3900,máy xăng 2.0 L,5,1888000000,đen,Xe cũ,Xăng
Mercedes,Benz EQS 500 4Matic,2023,11666,,5,3999000000,trắng,Xe cũ,
Toyota,Camry 2.5Q,2021,11000,máy xăng 2.5 L,5,915000000,đen,Xe cũ,Xăng
Mazda,3 1.5L Luxury,2023,13000,máy xăng 1.5 L,5,615000000,trắng,Xe cũ,Xăng
Lexus,RX 350,2022,16166,máy xăng 3.5 L,5,3886000000,đen,Xe cũ,Xăng
Toyota,Veloz Cross 1.5 CVT,2022,50000,máy xăng 1.5 L,7,568000000,bạc,Xe cũ,Xăng
Hyundai,Elantra 2.0 AT,2019,80000,máy xăng 2.0 L,5,425000000,trắng,Xe cũ,Xăng
Mercedes,Benz GLC 250 4Matic,2017,80000,máy xăng 2.0 L,5,925000000,trắng,Xe cũ,Xăng
Toyota,Vios 1.5E MT,2020,68000,máy xăng 1.5 L,5,345000000,trắng,Xe cũ,Xăng
Kia,Seltos Premium 1.4 AT,2020,61000,máy xăng 1.4 L,5,540000000,trắng,Xe cũ,Xăng
Lexus,ES 250,2016,66000,máy xăng 2.5 L,5,1075000000,trắng,Xe cũ,Xăng
Toyota,Prado VX 2.7L,2019,70,máy xăng 2.7 L,7,1900000000,trắng,Xe cũ,Xăng
Toyota,Fortuner 2.7V 4X2 AT,2016,110000,máy xăng 2.7 L,7,495000000,ghi,Xe cũ,Xăng
Suzuki,Vitara 1.6 AT,2016,75000,máy xăng 1.6 L,5,395000000,xanh,Xe cũ,Xăng
Kia,Seltos Luxury 1.4 AT,2020,70000,máy xăng 1.4 L,5,565000000,trắng,Xe cũ,Xăng
Toyota,Veloz Cross Top 1.5 CVT,2022,83000,máy xăng 1.5 L,7,575000000,trắng,Xe cũ,Xăng
Kia,Sedona 2.2L DATH,2016,130000,máy dầu 2.2 L,7,635000000,nâu,Xe cũ,Dầu
Mercedes,Benz Maybach S600,2015,37000,máy xăng 6.0 L,4,3650000000,đen,Xe cũ,Xăng
Hyundai,Starex Van 2.5 MT,2004,356876,máy dầu 2.5 L,6,72000000,bạc,Xe cũ,Dầu
Kia,Seltos Premium 1.6 AT,2021,20000,máy xăng 1.6 L,5,615000000,xanh,Xe cũ,Xăng
Toyota,Fortuner 2.8V 4x4 AT,2020,,máy dầu 2.8 L,7,935000000,trắng,Xe cũ,Dầu
Kia,Cerato 2.0 AT Premium,2021,45000,máy xăng 2.0 L,5,499000000,đỏ,Xe cũ,Xăng
Bentley,Flying Spur Speed,2010,8,máy xăng 6.0 L,5,1380000000,trắng,Xe cũ,Xăng
Nissan,Navara EL 2.5 AT 2WD,2018,55000,máy dầu 2.5 L,5,446000000,bạc,Xe cũ,Dầu
Mercedes,Benz GLC 200,2020,40000,máy xăng 2.0 L,5,1250000000,xám,Xe cũ,Xăng
Hyundai,Kona 1.6 Turbo,2021,8000,máy xăng 1.6 L,5,565000000,trắng,Xe cũ,Xăng
Mitsubishi,Xforce Premium,2024,7000,máy xăng 1.5 L,5,675000000,,Xe cũ,Xăng
Toyota,Innova 2.0E,2013,100000,máy xăng 2.0 L,8,235000000,cát,Xe cũ,Xăng
Mercedes,Benz E class E300 AMG,2020,69000,máy xăng 2.0 L,5,1589000000,trắng,Xe cũ,Xăng
Ford,Everest Titanium 2.0L 4x4 AT,2021,46000,máy dầu 2.0 L,7,985000000,cát,Xe cũ,Dầu
Mercedes,Benz C class C250 Exclusive,2015,89000,máy xăng 2.0 L,5,595000000,đen,Xe cũ,Xăng
Ford,Ranger XLS 2.2L 4x2 AT,2021,51000,máy dầu 2.2 L,5,570000000,đen,Xe cũ,Dầu
BMW,3 Series 320i,2018,60000,máy xăng 2.0 L,5,789000000,trắng,Xe cũ,Xăng
BMW,7 Series 730Li,2021,46000,máy xăng 2.0 L,5,2680000000,đen,Xe cũ,Xăng
Peugeot,2008 Active 1.2 AT,2021,61000,máy xăng 1.2 L,5,570000000,đồng,Xe cũ,Xăng
Mazda,3 1.5 Sport,2024,6888,"máy xăng , số tự động, 5 chỗ , đã đi 6,888 km ...   Bán Mazda 3 phiên bản 1.5 sport luxury, xe chính chủ từ đầu đi giữ gìn cẩn thận, chất xe đẹp khỏi bàn, độ đầm chắc hơn xe sedan nhiều...
Đăng ký: 08/2024
Xuất xứ: Việt ... L",5,635000000,xanh,Xe cũ,Xăng
Ford,Ranger Wildtrak 2.0L 4x4 AT,2020,90000,máy dầu 2.0 L,5,685000000,đen,Xe cũ,Dầu
VinFast,VF5 S,2024,8000,,5,510000000,xám,Xe cũ,
Lexus,RX 300,2022,80000,máy xăng 2.0 L,5,3080000000,cát,Xe cũ,Xăng
Toyota,Corolla Cross 1.8V,2022,30000,máy xăng 1.8 L,5,765000000,xám,Xe cũ,Xăng
Mitsubishi,Xpander Premium 1.5 AT,2024,52118,máy xăng 1.5 L,7,605000000,bạc,Xe cũ,Xăng
Toyota,Fortuner 2.7V 4x2 AT,2019,85000,máy xăng 2.7 L,7,780000000,bạc,Xe cũ,Xăng
Toyota,Innova 2.0E,2016,11000,máy xăng 2.0 L,8,395000000,xám,Xe cũ,Xăng
Ford,EcoSport Titanium 1.5L AT,2018,90000,máy xăng 1.5 L,5,375000000,trắng,Xe cũ,Xăng
Mitsubishi,Pajero 3.0,2008,160000,máy xăng 3.0 L,5,165000000,xanh,Xe cũ,Xăng
Suzuki,Super Carry Van Blind Van,2022,2500,máy xăng 1.0 L,2,265000000,trắng,Xe cũ,Xăng
Ford,Ranger XLS 2.2L 4x2 AT,2022,57000,máy dầu 2.2 L,5,590000000,đỏ,Xe cũ,Dầu
Kia,Rio 1.4 AT,2014,85000,máy xăng 1.4 L,5,285000000,đỏ,Xe cũ,Xăng
Kia,Soluto 1.4 AT Deluxe,2024,6700,máy xăng 1.4 L,5,408000000,trắng,Xe cũ,Xăng
Hyundai,Accent 1.4 AT,2022,62000,máy xăng 1.4 L,5,438000000,trắng,Xe cũ,Xăng
Mazda,CX5 Premium 2.0 AT,2023,20000,máy xăng 2.0 L,5,805000000,xanh,Xe cũ,Xăng
Mercedes,Benz S class S450L,2017,59000,máy xăng 3.0 L,5,1999000000,trắng,Xe cũ,Xăng
VinFast,VF5 Plus,2024,27000,,5,499000000,trắng,Xe cũ,
Ford,Everest 2.5L 4x2 AT,2014,150000,máy dầu 2.5 L,7,445000000,hồng,Xe cũ,Dầu
Hyundai,Elantra 2.0 AT,2018,70000,máy xăng 2.0 L,5,435000000,đỏ,Xe cũ,Xăng
Maserati,Quattroporte 3.0 V6,2016,56000,máy xăng 3.0 L,5,1995000000,xanh,Xe cũ,Xăng
Honda,City RS 1.5 AT,2022,65,máy xăng 1.5 L,5,465000000,đen,Xe cũ,Xăng
Hyundai,Creta Đặc biệt 1.5 AT,2022,5000,máy xăng 1.5 L,5,595000000,đen,Xe cũ,Xăng
Toyota,Raize G 1.0 CVT,2023,30110,máy xăng 1.0 L,5,525000000,đen,Xe cũ,Xăng
Kia,Soluto 1.4 MT Deluxe,2022,34000,máy xăng 1.4 L,5,330000000,đen,Xe cũ,Xăng
Mercedes,Benz G class G63 AMG,2015,50000,máy xăng 5.5 L,5,5450000000,xám,Xe cũ,Xăng
Hyundai,Tucson 2.0 AT CRDi,2020,60000,máy dầu 2.0 L,5,740000000,trắng,Xe cũ,Dầu
Mitsubishi,Jolie MB,2004,99000,máy xăng 2.0 L,8,55000000,xám,Xe cũ,Xăng
Kia,Carnival Signature 2.2D,2022,40000,máy dầu 2.2 L,7,1225000000,xám,Xe cũ,Dầu
Bentley,Continental GT Speed,2013,15000,máy xăng 6.0 L,4,3950000000,trắng,Xe cũ,Xăng
Mercedes,Benz GLC 300 4Matic,2022,30000,máy xăng 2.0 L,5,1999000000,đen,Xe cũ,Xăng
Nissan,Navara EL Premium R,2019,83000,máy dầu 2.5 L,5,490000000,nâu,Xe cũ,Dầu
Kia,Seltos Premium 1.4 AT,2020,65000,máy xăng 1.4 L,5,560000000,đỏ,Xe cũ,Xăng
Toyota,4 Runner Limited,2013,140000,máy xăng 4.0 L,7,1550000000,đen,Xe cũ,Xăng
Mazda,3 1.5 AT,2016,9,máy xăng 1.5 L,5,379000000,xanh,Xe cũ,Xăng
Honda,Civic 1.8 AT,2006,10,máy xăng 1.8 L,5,185000000,đen,Xe cũ,Xăng
Mercedes,Benz E class E250,2014,12,máy xăng 2.0 L,5,579000000,đen,Xe cũ,Xăng
Ford,Everest Sport 2.0L 4x2 AT,2022,40000,máy dầu 2.0 L,7,1089000000,đen,Xe cũ,Dầu
Kia,Soluto 1.4 AT Deluxe,2019,39000,máy xăng 1.4 L,5,330000000,trắng,Xe cũ,Xăng
Kia,Carens 1.4T Premium,2023,13000,máy xăng 1.4 L,7,689000000,trắng,Xe cũ,Xăng
Toyota,Camry 2.5Q,2024,3700,máy xăng 2.5 L,5,1380000000,đen,Xe cũ,Xăng
Ford,Territory Titanium X 1.5 AT,2023,24000,máy xăng 1.5 L,5,839000000,đỏ,Xe cũ,Xăng
Toyota,Wigo G 1.2 AT,2023,10000,máy xăng 1.2 L,5,385000000,trắng,Xe cũ,Xăng
MG,5 Luxury 1.5 AT,2022,45000,máy xăng 1.5 L,5,415000000,vàng,Xe cũ,Xăng
Mercedes,Benz S class S450L Luxury,2020,30000,máy xăng 3.0 L,5,2839000000,đen,Xe cũ,Xăng
Mercedes,Benz GLC 300 4Matic,2022,40000,máy xăng 2.0 L,5,1890000000,đen,Xe cũ,Xăng
Hyundai,i10 Grand 1.0 MT,2014,,máy xăng 1.0 L,5,165000000,bạc,Xe cũ,Xăng
Mercedes,Benz C class C300 AMG,2022,17000,máy xăng 2.0 L,5,1759000000,đen,Xe cũ,Xăng
Toyota,Vios 1.5G,2020,69000,máy xăng 1.5 L,5,435000000,nâu,Xe cũ,Xăng
Mercedes,Benz C class C300 AMG,2017,56000,máy xăng 2.0 L,5,799000000,trắng,Xe cũ,Xăng
Mazda,CX5 Deluxe 2.0 AT,2025,1000,máy xăng 2.0 L,5,780000000,xanh,Xe cũ,Xăng
Porsche,Panamera 4 Executive,2018,40000,máy xăng 3.0 L,4,3990000000,đen,Xe cũ,Xăng
Ford,Ranger XLS 2.2L 4x2 AT,2017,44000,máy dầu 2.2 L,5,475000000,cát,Xe cũ,Dầu
VinFast,Lux SA 2.0 Plus 2.0 AT,2020,40000,máy xăng 2.0 L,7,699000000,đỏ,Xe cũ,Xăng
Toyota,Innova 2.0E,2019,100000,máy xăng 2.0 L,8,480000000,bạc,Xe cũ,Xăng
Suzuki,Ertiga GLX 1.5 AT,2019,62000,máy xăng 1.5 L,7,385000000,nâu,Xe cũ,Xăng
Toyota,Vios 1.5G,2014,11000,máy xăng 1.5 L,5,315000000,cát,Xe cũ,Xăng
Mazda,CX5 Premium Exclusive 2.0 AT,2024,14000,máy xăng 2.0 L,5,879000000,trắng,Xe cũ,Xăng
Toyota,Fortuner 2.5G,2016,,máy dầu 2.5 L,7,585000000,bạc,Xe cũ,Dầu
Hyundai,Accent 1.4 ATH,2019,79000,máy xăng 1.4 L,5,405000000,trắng,Xe cũ,Xăng
Honda,Civic 1.8 MT,2012,100000,máy xăng 1.8 L,5,268000000,đen,Xe cũ,Xăng
Toyota,Camry 2.5Q,2017,10000,máy xăng 2.5 L,5,715000000,đen,Xe cũ,Xăng
Toyota,Corolla altis 1.8V,2022,57500,máy xăng 1.8 L,5,670000000,trắng,Xe cũ,Xăng
Mercedes,Benz GLC 300 4Matic,2021,25000,máy xăng 2.0 L,5,1699000000,đỏ,Xe cũ,Xăng
MG,5 Standard 1.5 AT,2022,42000,máy xăng 1.5 L,5,418000000,đen,Xe cũ,Xăng
Toyota,Raize G 1.0 CVT,2022,60000,máy xăng 1.0 L,5,485000000,trắng,Xe cũ,Xăng
Hyundai,Kona 2.0 AT,2021,50000,máy xăng 2.0 L,5,500000000,đỏ,Xe cũ,Xăng
BMW,5 Series 535i GT,2010,90000,máy xăng 3.0 L,5,499000000,trắng,Xe cũ,Xăng
Porsche,Cayenne 3.6 V6,2015,71000,máy xăng 3.6 L,5,1599000000,vàng,Xe cũ,Xăng
Mercedes,Benz GLC 300 4Matic,2017,88000,máy xăng 2.0 L,5,999000000,trắng,Xe cũ,Xăng
Lexus,RX 450h,2018,51067,,5,2990000000,vàng,Xe cũ,
Mazda,CX5 Premium Sport 2.0 AT,2023,18000,máy xăng 2.0 L,5,835000000,đỏ,Xe cũ,Xăng
MG,ZS Comfort 1.5 AT 2WD,2023,3700,máy xăng 1.5 L,5,489000000,đỏ,Xe cũ,Xăng
Mercedes,Benz G class G63 AMG,2019,50000,máy xăng 4.0 L,5,7800000000,đen,Xe cũ,Xăng
Hyundai,Creta Đặc biệt 1.5 AT,2023,35000,máy xăng 1.5 L,5,629000000,đỏ,Xe cũ,Xăng
Hyundai,Kona 2.0 ATH,2019,41000,máy xăng 2.0 L,5,485000000,xanh,Xe cũ,Xăng
Toyota,Corolla altis 2.0V,2015,150000,máy xăng 2.0 L,5,455000000,đen,Xe cũ,Xăng
Toyota,Fortuner 2.4G 4x2 AT,2018,37000,máy dầu 2.4 L,7,848000000,đen,Xe cũ,Dầu
Mercedes,Benz GLC 300 4Matic,2018,,máy xăng 2.0 L,5,1080000000,xanh,Xe cũ,Xăng
Mercedes,Benz C class C43 AMG 4Matic,2023,2500,máy xăng 2.0 L,5,2359000000,trắng,Xe cũ,Xăng
Kia,Seltos Premium 1.4 AT,2021,50000,máy xăng 1.4 L,5,585000000,cam,Xe cũ,Xăng
Hyundai,Elantra 2.0 AT,2021,56000,máy xăng 2.0 L,5,459000000,trắng,Xe cũ,Xăng
Mercedes,Benz R class R500 4Matic,2006,78000,máy xăng 5.5 L,7,195000000,đen,Xe cũ,Xăng
Mercedes,Benz GLC 300 4Matic,2021,39000,máy xăng 2.0 L,5,1639000000,xanh,Xe cũ,Xăng
Kia,Cerato 2.0 AT Premium,2019,84132,máy xăng 2.0 L,5,436000000,đen,Xe cũ,Xăng
MG,5 Luxury 1.5 AT,2022,42000,máy xăng 1.5 L,5,410000000,vàng,Xe cũ,Xăng
Mitsubishi,Attrage 1.2 MT,2020,76982,máy xăng 1.2 L,5,268000000,trắng,Xe cũ,Xăng
Ford,EcoSport Titanium 1.5 AT,2020,40000,máy xăng 1.5 L,5,445000000,đỏ,Xe cũ,Xăng
Ford,Explorer Limited 2.3L EcoBoost,2018,80000,máy xăng 2.3 L,7,1000000000,trắng,Xe cũ,Xăng
Mazda,CX 30 Luxury 2.0 AT,2024,5298,máy xăng 2.0 L,5,695000000,đỏ,Xe cũ,Xăng
Kia,Cerato 1.6 AT Luxury,2020,40000,máy xăng 1.6 L,5,498000000,trắng,Xe cũ,Xăng
Mercedes,Benz Maybach S450 4Matic,2019,48000,máy xăng 3.0 L,5,2190000000,xanh,Xe cũ,Xăng
Lexus,RX 350 Luxury,2023,,máy xăng 2.4 L,5,3900000000,trắng,Xe cũ,Xăng
Toyota,Land Cruiser 4.6 V8,2020,82000,máy xăng 4.6 L,8,4290000000,đen,Xe cũ,Xăng
Peugeot,3008 Allure 1.6 AT,2021,9000,máy xăng 1.6 L,5,785000000,trắng,Xe cũ,Xăng
Peugeot,3008 Allure 1.6 AT,2021,9000,máy xăng 1.6 L,5,785000000,trắng,Xe cũ,Xăng
Ford,Everest Titanium 2.0L 4x4 AT,2018,98000,máy dầu 2.0 L,7,865000000,trắng,Xe cũ,Dầu
Hyundai,Accent 1.4 AT Đặc Biệt,2023,23000,máy xăng 1.4 L,5,490000000,trắng,Xe cũ,Xăng
Lexus,RX 300,2021,,máy xăng 2.0 L,5,2960000000,đen,Xe cũ,Xăng
Suzuki,Swift 1.4 AT,2014,70000,máy xăng 1.4 L,5,268000000,trắng,Xe cũ,Xăng
Mercedes,Benz GLC 300 4Matic,2018,39000,máy xăng 2.0 L,5,1190000000,trắng,Xe cũ,Xăng
Mercedes,Benz GLS 450 4Matic,2022,19000,máy xăng 3.0 L,7,4450000000,trắng,Xe cũ,Xăng
Honda,City L 1.5 AT,2022,79000,máy xăng 1.5 L,5,475000000,trắng,Xe cũ,Xăng
Toyota,Camry 2.0G,2020,70000,máy xăng 2.0 L,5,799000000,đen,Xe cũ,Xăng
Mercedes,Benz GLC 200,2022,7000,máy xăng 2.0 L,5,1539000000,đen,Xe cũ,Xăng
Toyota,Fortuner Legender 2.4L 4x2 AT,2022,10000,máy dầu 2.4 L,7,1075000000,đen,Xe cũ,Dầu
Honda,CRV L,2019,70000,máy xăng 1.5 L,7,799000000,đen,Xe cũ,Xăng
Ford,Explorer Limited 2.3L EcoBoost,2021,30000,máy xăng 2.3 L,7,1690000000,đỏ,Xe cũ,Xăng
Ford,EcoSport Titanium 1.5L AT,2019,49000,máy xăng 1.5 L,5,439000000,đỏ,Xe cũ,Xăng
Nissan,Sunny XL,2015,120000,máy xăng 1.5 L,5,175000000,trắng,Xe cũ,Xăng
Kia,Carnival Signature 2.2D,2022,20000,máy dầu 2.2 L,7,1250000000,xanh,Xe cũ,Dầu
Mazda,3 1.5L Luxury,2021,45,máy xăng 1.5 L,5,539000000,đỏ,Xe cũ,Xăng
Subaru,Forester 2.0i-L,2022,28000,máy xăng 2.0 L,5,769000000,xanh,Xe cũ,Xăng
Mercedes,Benz Maybach S450 4Matic,2020,40000,máy xăng 3.0 L,5,4350000000,trắng,Xe cũ,Xăng
Hyundai,SantaFe Cao cấp 2.2L HTRAC,2023,23000,máy dầu 2.2 L,7,1269000000,trắng,Xe cũ,Dầu
